UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,855.0,,291.0,,,,,,94.0,35.0,47.0,107.0,0.0,,41.0,,201.0,20.0,8.0
100663,,,,,,,,9028.0,,2572.0,,,,,,405.0,1112.0,1658.0,310.0,421.0,,737.0,,1161.0,312.0,78.0
100690,,,,,,,,66.0,,33.0,,,,,,1.0,7.0,6.0,,,,,,3.0,1.0,
100706,,,,,,,,1417.0,,413.0,,,,,,98.0,83.0,407.0,83.0,2.0,,112.0,,188.0,16.0,1.0
100724,,,,,,,,878.0,,288.0,4.0,,,,,65.0,37.0,26.0,90.0,2.0,,116.0,7.0,102.0,36.0,3.0
100733,,,,,,,,87.0,,,,,,,,15.0,20.0,6.0,21.0,,,3.0,,21.0,,
100751,,,,,,,,6315.0,,1659.0,,,,,,570.0,556.0,488.0,566.0,236.0,,737.0,26.0,900.0,229.0,132.0
100760,,,,,,,,163.0,,83.0,,,,,,17.0,7.0,2.0,1.0,,,20.0,,26.0,,
100812,,,,,,,,281.0,,122.0,,,,,,31.0,5.0,12.0,9.0,,,13.0,,44.0,8.0,2.0
100830,,,,,,,,615.0,,250.0,,9.0,,,,90.0,18.0,34.0,16.0,3.0,,31.0,2.0,105.0,,6.0
100858,,,,,,,,5660.0,,1452.0,28.0,242.0,,,,513.0,434.0,612.0,602.0,32.0,,440.0,3.0,728.0,381.0,51.0
100937,,,,,,,,316.0,,108.0,,,,,,35.0,8.0,9.0,56.0,5.0,,16.0,1.0,37.0,10.0,1.0
101028,,,,,,,,125.0,,61.0,,,,,,14.0,2.0,1.0,4.0,,,8.0,1.0,21.0,2.0,1.0
101116,,,,,,,,50.0,,27.0,,,,,,8.0,2.0,,2.0,,,,,10.0,,
101143,,,,,,,,145.0,,67.0,,,,,,4.0,6.0,3.0,3.0,,,13.0,2.0,27.0,,1.0
101161,,,,,,,,419.0,,224.0,,,,,,13.0,,1.0,,,,3.0,,22.0,,
101189,,,,,,,,359.0,,181.0,,,,,,26.0,5.0,2.0,57.0,0.0,,12.0,0.0,35.0,,1.0
101240,,,,,,,,438.0,,192.0,,,,,,34.0,10.0,16.0,21.0,1.0,,29.0,,86.0,14.0,
101277,,,,,,,,9.0,,4.0,,,,,,1.0,1.0,,,,,,,3.0,,
101286,,,,,,,,323.0,,167.0,,,,,,18.0,4.0,8.0,4.0,,,9.0,,53.0,7.0,6.0
