UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,800.0,,279.0,11.0,1.0,,,,92.0,27.0,19.0,133.0,,,37.0,,155.0,18.0,13.0
100663,,,,,,,,9309.0,,2654.0,,,,,,423.0,1191.0,1699.0,316.0,412.0,,771.0,,1146.0,325.0,79.0
100690,,,,,,,,73.0,,30.0,,,,,,1.0,7.0,5.0,,,,,,13.0,2.0,
100706,,,,,,,,1459.0,,435.0,,,,,,102.0,85.0,439.0,85.0,4.0,,110.0,,176.0,10.0,1.0
100724,,,,,,,,861.0,,271.0,3.0,,,,,60.0,36.0,30.0,101.0,1.0,,112.0,6.0,97.0,37.0,6.0
100733,,,,,,,,93.0,,,,,,,,16.0,21.0,5.0,22.0,,,2.0,,27.0,,
100751,,,,,,,,6402.0,,1694.0,,,,,,582.0,563.0,484.0,592.0,239.0,,720.0,30.0,911.0,235.0,140.0
100760,,,,,,,,158.0,,81.0,,,,,,16.0,7.0,2.0,2.0,,,19.0,,26.0,,
100812,,,,,,,,283.0,,122.0,,,,,,35.0,7.0,11.0,17.0,,,11.0,,42.0,7.0,2.0
100830,,,,,,,,621.0,,256.0,,10.0,,,,93.0,22.0,33.0,17.0,4.0,,28.0,2.0,102.0,,5.0
100858,,,,,,,,5752.0,,1498.0,51.0,219.0,,,,541.0,466.0,620.0,656.0,34.0,,421.0,3.0,667.0,369.0,53.0
100937,,,,,,,,320.0,,113.0,,,,,,36.0,8.0,9.0,60.0,5.0,,18.0,1.0,38.0,9.0,1.0
101028,,,,,,,,139.0,,70.0,,,,,,15.0,2.0,1.0,4.0,,,8.0,2.0,19.0,2.0,1.0
101116,,,,,,,,55.0,,32.0,,,,,,8.0,0.0,,,,,,,2.0,,
101143,,,,,,,,141.0,,66.0,,,,,,3.0,5.0,4.0,3.0,,,16.0,1.0,26.0,,0.0
101161,,,,,,,,410.0,,231.0,,,,,,11.0,,,,,,3.0,,18.0,,
101189,,,,,,,,347.0,,166.0,,,,,,29.0,3.0,2.0,57.0,0.0,,13.0,0.0,35.0,,1.0
101240,,,,,,,,424.0,,186.0,,,,,,33.0,10.0,16.0,19.0,1.0,,28.0,,84.0,13.0,
101277,,,,,,,,12.0,,5.0,,,,,,1.0,3.0,,,,,,,3.0,,
101286,,,,,,,,340.0,,170.0,,,,,,18.0,6.0,9.0,5.0,,,10.0,,53.0,8.0,9.0
101295,,,,,,,,365.0,,190.0,,,,,,27.0,8.0,6.0,6.0,,,21.0,,59.0,17.0,
101301,,,,,,,,163.0,,64.0,,,,,,17.0,4.0,2.0,8.0,,,17.0,,36.0,1.0,
101365,,,,,,,,37.0,,21.0,,,,,,2.0,,,,,,1.0,,5.0,,
101435,,,,,,,,217.0,,74.0,,,,,,19.0,8.0,4.0,52.0,,,20.0,19.0,10.0,2.0,
101453,,,,,,,,28.0,,4.0,,,,,,8.0,4.0,1.0,,,,3.0,,6.0,,
101462,,,,,,,,73.0,,30.0,,,,,,5.0,5.0,2.0,,,,1.0,,16.0,,
101471,,,,,,,,125.0,,55.0,,,,,,8.0,6.0,2.0,3.0,,,2.0,,17.0,1.0,1.0
101480,,,,,,,,1032.0,,392.0,,,,,,99.0,43.0,46.0,113.0,,,140.0,,121.0,39.0,7.0
101505,,,,,,,,512.0,,253.0,,,,,,15.0,16.0,6.0,12.0,,,42.0,,104.0,7.0,
101514,,,,,,,,543.0,,259.0,,,,,,40.0,6.0,25.0,33.0,,,28.0,,103.0,8.0,
101541,,,,,,,,107.0,,42.0,,1.0,,,,7.0,6.0,3.0,3.0,,,17.0,2.0,9.0,2.0,
101569,,,,,,,,282.0,,125.0,,,,,,27.0,6.0,5.0,14.0,,,16.0,6.0,59.0,4.0,1.0
101587,,,,,,,,492.0,,166.0,2.0,11.0,,,,47.0,25.0,12.0,54.0,,,55.0,,56.0,24.0,3.0
101602,,,,,,,,147.0,,73.0,,,,,,11.0,8.0,4.0,13.0,,,4.0,,23.0,1.0,0.0
