Logistic Regression,Penalized Logistic Regression,k-Nearest Neighbors,Support Vector Machine,XGBoost,LightGBM,Random Forest
0.46491743682723286,0.45810351231549384,0.4543399029239401,0.5530094789880006,0.5548606434544638,0.5703080449125599,0.5763892632815355
0.46925406414963555,0.4765063514482976,0.4350549222773563,0.5193754029644451,0.5876661978891939,0.5640453144577722,0.5273459870369781
0.45908149204245047,0.46789473723359587,0.44885037015509965,0.5540433045720974,0.571470125477269,0.6033438124336636,0.5593950243981588
0.45561833511331257,0.45705793780637294,0.41857243120960397,0.516643346870356,0.5852870839165802,0.584257655083577,0.5387007134648567
0.4409055407986995,0.4649124020540603,0.4495808370239641,0.5247783948437876,0.559044572477142,0.5636883519275224,0.5507238671050196
0.474758659204477,0.4619619638947895,0.46877108983743593,0.5331248377515322,0.517604860998785,0.5467016580529197,0.497505647953638
0.5249480547396165,0.5197603244005609,0.4299651509196542,0.5630453802558533,0.5917291913187445,0.5793903640493623,0.5437950912991439
0.40684771475326054,0.4104564159757899,0.4118617861084732,0.5069141689633563,0.5299441170155265,0.5391370972875865,0.5009125523210807
0.4039848562302492,0.4284314815708746,0.4196580490601982,0.4735882185961087,0.5546904594303614,0.5921780413383085,0.4969293408174229
0.4759488870073178,0.48613716959030184,0.4031993424464752,0.5199835271004714,0.5188777588228876,0.535326998838734,0.5339522178728313
