UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,861.0,,292.0,1.0,,,,,85.0,30.0,41.0,116.0,0.0,,36.0,1.0,223.0,18.0,7.0
100663,,,,,,,,8685.0,,2412.0,,,,,,383.0,1070.0,1589.0,298.0,418.0,,703.0,,1181.0,327.0,85.0
100690,,,,,,,,62.0,,33.0,,,,,,3.0,6.0,4.0,,,,,,3.0,1.0,
100706,,,,,,,,1415.0,,414.0,,,,,,102.0,82.0,403.0,79.0,3.0,,114.0,,183.0,19.0,1.0
100724,,,,,,,,885.0,,304.0,3.0,,,,,70.0,37.0,27.0,91.0,2.0,,120.0,10.0,104.0,31.0,8.0
100733,,,,,,,,90.0,,,,,,,,15.0,21.0,5.0,21.0,,,3.0,,25.0,,
100751,,,,,,,,6166.0,,1609.0,,,,,,562.0,518.0,475.0,531.0,231.0,,739.0,32.0,892.0,225.0,139.0
100760,,,,,,,,160.0,,82.0,,,,,,18.0,5.0,1.0,1.0,,,21.0,,27.0,,
100812,,,,,,,,279.0,,119.0,,,,,,28.0,6.0,12.0,9.0,,,15.0,,52.0,8.0,2.0
100830,,,,,,,,613.0,,250.0,,8.0,,,,97.0,15.0,37.0,14.0,3.0,,35.0,3.0,109.0,,3.0
100858,,,,,,,,5742.0,,1405.0,21.0,254.0,,,,496.0,436.0,623.0,600.0,33.0,,456.0,3.0,837.0,399.0,62.0
100937,,,,,,,,309.0,,100.0,,,,,,33.0,11.0,10.0,56.0,5.0,,17.0,1.0,37.0,10.0,1.0
101028,,,,,,,,129.0,,63.0,,,,,,14.0,2.0,1.0,3.0,,,8.0,1.0,21.0,2.0,1.0
101073,,,,,,,,110.0,,36.0,,,,,,7.0,5.0,,,,,16.0,19.0,7.0,,
101116,,,,,,,,66.0,,28.0,,,,,,15.0,3.0,,,,,1.0,,13.0,,
101143,,,,,,,,155.0,,74.0,,,,,,2.0,6.0,4.0,3.0,,,14.0,2.0,31.0,,2.0
101161,,,,,,,,207.0,,124.0,,,,,,,,,,,,,,,,
101189,,,,,,,,350.0,,175.0,,,,,,28.0,5.0,1.0,58.0,0.0,,11.0,0.0,36.0,,1.0
101240,,,,,,,,449.0,,192.0,,,,,,35.0,10.0,16.0,24.0,1.0,,28.0,,93.0,14.0,
101277,,,,,,,,10.0,,5.0,,,,,,1.0,1.0,,,,,,,3.0,,
101286,,,,,,,,338.0,,163.0,,,,,,21.0,6.0,11.0,7.0,,,11.0,,51.0,8.0,8.0
101295,,,,,,,,393.0,,206.0,,,,,,29.0,7.0,6.0,7.0,,,23.0,,74.0,18.0,
101301,,,,,,,,180.0,,76.0,,,,,,22.0,5.0,2.0,12.0,,,20.0,,26.0,1.0,1.0
101365,,,,,,,,35.0,,17.0,,,,,,2.0,,,,,,1.0,,4.0,,
101435,,,,,,,,198.0,,63.0,,,,,,21.0,18.0,4.0,42.0,,,22.0,,12.0,5.0,
101453,,,,,,,,28.0,,4.0,,,,,,9.0,6.0,1.0,,,,3.0,,4.0,,
101462,,,,,,,,101.0,,40.0,,,,,,2.0,5.0,3.0,,,,3.0,,18.0,,
101471,,,,,,,,105.0,,40.0,,,,,,7.0,8.0,1.0,3.0,,,3.0,,15.0,,1.0
101480,,,,,,,,979.0,,367.0,,,,,,103.0,28.0,46.0,106.0,,,133.0,,127.0,37.0,7.0
101499,,,,,,,,91.0,,41.0,,,,,,11.0,2.0,3.0,0.0,,,7.0,,13.0,,
101505,,,,,,,,494.0,,243.0,,,,,,10.0,14.0,6.0,14.0,,,42.0,,105.0,5.0,
101514,,,,,,,,522.0,,249.0,,,,,,38.0,6.0,25.0,31.0,,,28.0,,98.0,10.0,
101541,,,,,,,,107.0,,43.0,,1.0,,,,6.0,4.0,3.0,5.0,,,16.0,1.0,10.0,4.0,
101569,,,,,,,,281.0,,125.0,,,,,,27.0,7.0,5.0,13.0,0.0,,19.0,5.0,58.0,3.0,1.0
101587,,,,,,,,496.0,,156.0,2.0,6.0,,,,42.0,28.0,14.0,47.0,,,64.0,,49.0,22.0,3.0
101602,,,,,,,,161.0,,68.0,,,,,,13.0,10.0,4.0,18.0,,,5.0,,33.0,1.0,
101648,,,,,,,,114.0,,22.0,,,,,,13.0,6.0,1.0,7.0,1.0,,21.0,3.0,13.0,4.0,1.0
101675,,,,,,,,298.0,,105.0,,,,,,21.0,8.0,5.0,33.0,2.0,,53.0,,59.0,,
101693,,,,,,,,222.0,,99.0,,,,,,21.0,14.0,4.0,39.0,1.0,,8.0,,31.0,,
101709,,,,,,,,517.0,,174.0,,,,,,40.0,26.0,16.0,77.0,5.0,,61.0,,61.0,27.0,
101736,,,,,,,,268.0,,97.0,,,,,,39.0,6.0,6.0,11.0,,,18.0,,40.0,,
101879,,,,,,,,731.0,,296.0,,,,,,49.0,34.0,27.0,46.0,10.0,,83.0,,94.0,26.0,6.0
101897,,,,,,,,198.0,,94.0,,,,,,8.0,2.0,3.0,12.0,,,10.0,3.0,32.0,4.0,
101912,,,,,,,,369.0,,124.0,1.0,1.0,,,,46.0,27.0,27.0,13.0,3.0,,42.0,,49.0,18.0,2.0
101949,,,,,,,,128.0,,45.0,,,,,,11.0,1.0,2.0,1.0,,,6.0,,25.0,,
101994,,,,,,,,53.0,,22.0,,,,,,3.0,2.0,2.0,3.0,,,4.0,,6.0,,
102030,,,,,,,,249.0,,110.0,,,,,,14.0,3.0,3.0,7.0,,,22.0,,57.0,,0.0
102049,,,,,,,,1078.0,,417.0,,,,,,123.0,56.0,49.0,119.0,30.0,,30.0,5.0,192.0,17.0,2.0
102058,,,,,,,,37.0,,4.0,,,,,,,2.0,,4.0,1.0,,9.0,,7.0,6.0,
102067,,,,,,,,346.0,,132.0,,,,,,55.0,1.0,13.0,3.0,,,9.0,,97.0,20.0,
102076,,,,,,,,153.0,,71.0,,,,,,18.0,2.0,4.0,9.0,,,13.0,,34.0,,
102094,,,,,,,,2703.0,,924.0,,,,,,177.0,153.0,114.0,96.0,208.0,,246.0,5.0,428.0,111.0,8.0
102234,,,,,,,,320.0,,103.0,,1.0,,,,39.0,13.0,9.0,41.0,1.0,,50.0,1.0,35.0,13.0,3.0
102270,,,,,,,,131.0,,37.0,,,,,,9.0,5.0,4.0,20.0,,,32.0,1.0,15.0,,
102298,,,,,,,,164.0,,49.0,,,,,,41.0,1.0,3.0,14.0,1.0,,26.0,1.0,15.0,8.0,2.0
102313,,,,,,,,157.0,,79.0,,,,,,18.0,8.0,2.0,,,,6.0,,24.0,,
102368,,,,,,,,2073.0,,826.0,,,,,,164.0,69.0,73.0,210.0,6.0,,60.0,47.0,364.0,3.0,7.0
102377,,,,,,,,625.0,,263.0,21.0,4.0,,,,18.0,42.0,11.0,56.0,2.0,,29.0,1.0,72.0,8.0,
102395,,,,,,,,45.0,,12.0,,,,,,7.0,1.0,4.0,4.0,,,,,5.0,1.0,1.0
102429,,,,,,,,415.0,,200.0,,,,,,38.0,16.0,7.0,24.0,,,41.0,,53.0,,
102553,,,,,,,,1824.0,,686.0,93.0,72.0,,,,114.0,42.0,98.0,78.0,8.0,,32.0,30.0,424.0,71.0,9.0
102580,,,,,,,,12.0,,5.0,,,,,,3.0,,,0.0,,,1.0,,,1.0,
102614,,,,,,,,1985.0,,449.0,515.0,138.0,,,,159.0,53.0,98.0,74.0,6.0,,35.0,2.0,296.0,89.0,18.0
102632,,,,,,,,331.0,,124.0,7.0,1.0,,,,38.0,14.0,19.0,8.0,1.0,,20.0,0.0,71.0,13.0,
102669,,,,,,,,118.0,,45.0,2.0,2.0,,,,10.0,7.0,7.0,11.0,,,2.0,2.0,7.0,,
102711,,,,,,,,72.0,,30.0,,,,,,2.0,,3.0,3.0,,,16.0,,12.0,5.0,
102845,,,,,,,,269.0,,124.0,,,,,,20.0,22.0,3.0,25.0,,,3.0,37.0,35.0,,
103501,,,,,,,,45.0,,16.0,,,,,,4.0,2.0,3.0,,,,,,19.0,,1.0
103529,,,,,,,,164.0,,,,,,,,52.0,32.0,40.0,2.0,,,,,38.0,,
103741,,,,,,,,8.0,,5.0,,,,,,1.0,,,,,,,,1.0,,
103778,,,,,,,,143.0,,27.0,,,,,,62.0,17.0,11.0,8.0,,,,,16.0,,
103811,,,,,,,,77.0,,34.0,,,,,,8.0,5.0,,,,,,27.0,2.0,,
103893,,,,,,,,37.0,,12.0,,,,,,5.0,,3.0,,,,,,2.0,,
