UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,814.0,,290.0,9.0,,,,,94.0,29.0,30.0,117.0,1.0,,45.0,1.0,160.0,22.0,7.0
100663,,,,,,,,9028.0,,2682.0,,,,,,430.0,1107.0,1855.0,314.0,393.0,,679.0,,916.0,309.0,71.0
100690,,,,,,,,71.0,,39.0,,,,,,,7.0,5.0,,,,,,10.0,2.0,
100706,,,,,,,,1463.0,,415.0,,,,,,104.0,90.0,473.0,89.0,4.0,,103.0,,160.0,13.0,1.0
100724,,,,,,,,818.0,,259.0,5.0,,,,,52.0,35.0,33.0,88.0,4.0,,99.0,4.0,97.0,37.0,6.0
100733,,,,,,,,92.0,,,,,,,,18.0,20.0,5.0,25.0,,,2.0,,22.0,,
100751,,,,,,,,6293.0,,1673.0,,,,,,582.0,573.0,510.0,588.0,246.0,,675.0,27.0,851.0,229.0,125.0
100760,,,,,,,,142.0,,63.0,,,,,,12.0,7.0,2.0,3.0,,,17.0,,23.0,,
100812,,,,,,,,274.0,,113.0,,,,,,36.0,8.0,11.0,20.0,2.0,,7.0,,35.0,9.0,2.0
100830,,,,,,,,627.0,,257.0,,6.0,,,,87.0,27.0,36.0,45.0,3.0,,27.0,,91.0,,2.0
100858,,,,,,,,5758.0,,1507.0,58.0,219.0,,,,552.0,469.0,639.0,657.0,34.0,,397.0,4.0,646.0,371.0,57.0
100937,,,,,,,,295.0,,110.0,,,,,,34.0,6.0,9.0,48.0,4.0,,17.0,1.0,34.0,9.0,1.0
101028,,,,,,,,124.0,,61.0,,,,,,13.0,2.0,1.0,4.0,,,9.0,2.0,19.0,2.0,0.0
101116,,,,,,,,49.0,,24.0,,,,,,8.0,0.0,0.0,,,,2.0,,2.0,,
101143,,,,,,,,146.0,,74.0,,,,,,7.0,7.0,3.0,3.0,,,13.0,,32.0,,
101161,,,,,,,,478.0,,265.0,,,,,,38.0,11.0,7.0,15.0,,,28.0,,48.0,4.0,
101189,,,,,,,,344.0,,163.0,,,,,,26.0,3.0,2.0,55.0,0.0,,14.0,0.0,39.0,,1.0
