UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,846.0,,288.0,4.0,,,,,70.0,41.0,37.0,116.0,2.0,,56.0,2.0,181.0,11.0,17.0
100663,,,,,,,,8460.0,,2350.0,,,,,,372.0,1056.0,1492.0,299.0,422.0,,695.0,,1192.0,324.0,75.0
100690,,,,,,,,67.0,,32.0,,,,,,3.0,5.0,5.0,,,,1.0,,2.0,,
100706,,,,,,,,1369.0,,389.0,,,,,,97.0,78.0,406.0,75.0,3.0,,100.0,,179.0,21.0,1.0
100724,,,,,,,,895.0,,300.0,6.0,,,,,64.0,37.0,31.0,86.0,2.0,,120.0,10.0,129.0,34.0,8.0
100733,,,,,,,,90.0,,,,,,,,15.0,22.0,5.0,18.0,,,3.0,,27.0,,
100751,,,,,,,,5960.0,,1547.0,,,,,,532.0,485.0,447.0,531.0,225.0,,730.0,31.0,873.0,221.0,126.0
100760,,,,,,,,169.0,,84.0,,,,,,16.0,8.0,2.0,1.0,,,22.0,,30.0,,
100812,,,,,,,,275.0,,116.0,,,,,,27.0,5.0,12.0,7.0,,,16.0,,52.0,8.0,2.0
100830,,,,,,,,642.0,,265.0,,,,,,109.0,19.0,41.0,19.0,4.0,,35.0,2.0,108.0,,3.0
100858,,,,,,,,5500.0,,1325.0,18.0,248.0,,,,476.0,418.0,591.0,594.0,30.0,,437.0,3.0,810.0,372.0,58.0
100937,,,,,,,,325.0,,110.0,,,,,,34.0,10.0,10.0,56.0,5.0,,18.0,2.0,41.0,10.0,2.0
101028,,,,,,,,130.0,,66.0,,,,,,14.0,1.0,2.0,3.0,,,9.0,1.0,22.0,2.0,1.0
101073,,,,,,,,109.0,,34.0,,,,,,7.0,5.0,,,,,16.0,19.0,7.0,,
101116,,,,,,,,67.0,,30.0,,,,,,15.0,,,,,,,,5.0,2.0,
101143,,,,,,,,155.0,,74.0,,,,,,1.0,6.0,4.0,2.0,,,13.0,2.0,33.0,,2.0
101161,,,,,,,,218.0,,133.0,,,,,,,,,,,,,,,,
101189,,,,,,,,364.0,,176.0,,,,,,29.0,6.0,1.0,58.0,0.0,,12.0,0.0,41.0,,1.0
101240,,,,,,,,461.0,,197.0,,,,,,36.0,10.0,17.0,23.0,1.0,,29.0,,97.0,14.0,
101277,,,,,,,,8.0,,5.0,,,,,,1.0,1.0,,,,,,,1.0,,
101286,,,,,,,,331.0,,161.0,,,,,,23.0,7.0,11.0,7.0,0.0,,8.0,,46.0,8.0,6.0
101295,,,,,,,,390.0,,198.0,,,,,,29.0,6.0,6.0,7.0,,,22.0,,69.0,19.0,
101301,,,,,,,,178.0,,76.0,,,,,,17.0,6.0,3.0,14.0,,,15.0,,29.0,,1.0
101365,,,,,,,,37.0,,18.0,,,,,,2.0,,,,,,2.0,,4.0,,
101435,,,,,,,,216.0,,65.0,,,,,,26.0,13.0,4.0,48.0,1.0,,27.0,,11.0,6.0,
